eventId,title,displayDate,eventLevel,sourceFamily,preferredVerificationDomains,folder
viet-nam-thoi-dung-nuoc,Việt Nam thời dựng nước,Thời dựng nước,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-thoi-dung-nuoc
bac-thuoc-va-dau-tranh-gianh-doc-lap,Bắc thuộc và đấu tranh giành độc lập,Bắc thuộc,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/bac-thuoc-va-dau-tranh-gianh-doc-lap
viet-nam-tu-the-ki-x-den-xv,Việt Nam từ thế kỉ X đến thế kỉ XV,Việt Nam thế kỉ X-XV,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-tu-the-ki-x-den-xv
viet-nam-tu-the-ki-xvi-den-xix,Việt Nam từ thế kỉ XVI đến thế kỉ XIX,Việt Nam thế kỉ XVI-XIX,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-tu-the-ki-xvi-den-xix
viet-nam-1858-1918,Việt Nam từ năm 1858 đến năm 1918,Việt Nam 1858-1918,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-1858-1918
viet-nam-1919-1945,Việt Nam từ năm 1919 đến năm 1945,Việt Nam 1919-1945,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-1919-1945
viet-nam-1945-1954,Việt Nam từ năm 1945 đến năm 1954,Việt Nam 1945-1954,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-1945-1954
viet-nam-1954-1975,Việt Nam từ năm 1954 đến năm 1975,Việt Nam 1954-1975,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-1954-1975
viet-nam-1975-den-nay,Việt Nam từ năm 1975 đến nay,Việt Nam 1975 đến nay,collection,broad_period,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/viet-nam-1975-den-nay
khoi-nghia-hai-ba-trung,Khởi nghĩa Hai Bà Trưng,40-43,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-hai-ba-trung
khoi-nghia-khu-lien-lap-nuoc-lam-ap,Khởi nghĩa Khu Liên lập nước Lâm Ấp,Năm 192,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-khu-lien-lap-nuoc-lam-ap
phu-nam-tro-thanh-vuong-quoc-hung-manh,Phù Nam trở thành vương quốc hùng mạnh,Từ thế kỉ III đến thế kỉ V,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/phu-nam-tro-thanh-vuong-quoc-hung-manh
khoi-nghia-ba-trieu,Khởi nghĩa Bà Triệu,248,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-ba-trieu
khoi-nghia-ly-bi-trieu-quang-phuc,Khởi nghĩa Lý Bí và Triệu Quang Phục,542-602,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-ly-bi-trieu-quang-phuc
xa-lan-dau-tien-xuat-hien,Xã lần đầu tiên xuất hiện,Đầu thế kỉ VII,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/xa-lan-dau-tien-xuat-hien
mai-thuc-loan-khoi-nghia,Mai Thúc Loan dựng cờ khởi nghĩa,đầu thế kỉ VIII,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/mai-thuc-loan-khoi-nghia
khoi-nghia-mai-thuc-loan,Khởi nghĩa Mai Thúc Loan,713-722,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-mai-thuc-loan
khoi-nghia-phung-hung,Khởi nghĩa Phùng Hưng,Cuối thế kỉ VIII,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-phung-hung
