covered 103 missing 258
001	viet-nam-thoi-dung-nuoc	Việt Nam thời dựng nước	Thời dựng nước
002	bac-thuoc-va-dau-tranh-gianh-doc-lap	Bắc thuộc và đấu tranh giành độc lập	Bắc thuộc
003	viet-nam-tu-the-ki-x-den-xv	Việt Nam từ thế kỉ X đến thế kỉ XV	Việt Nam thế kỉ X-XV
004	viet-nam-tu-the-ki-xvi-den-xix	Việt Nam từ thế kỉ XVI đến thế kỉ XIX	Việt Nam thế kỉ XVI-XIX
005	viet-nam-1858-1918	Việt Nam từ năm 1858 đến năm 1918	Việt Nam 1858-1918
006	viet-nam-1919-1945	Việt Nam từ năm 1919 đến năm 1945	Việt Nam 1919-1945
007	viet-nam-1945-1954	Việt Nam từ năm 1945 đến năm 1954	Việt Nam 1945-1954
008	viet-nam-1954-1975	Việt Nam từ năm 1954 đến năm 1975	Việt Nam 1954-1975
009	viet-nam-1975-den-nay	Việt Nam từ năm 1975 đến nay	Việt Nam 1975 đến nay
010	khoi-nghia-hai-ba-trung	Khởi nghĩa Hai Bà Trưng	40-43
011	khoi-nghia-khu-lien-lap-nuoc-lam-ap	Khởi nghĩa Khu Liên lập nước Lâm Ấp	Năm 192
012	phu-nam-tro-thanh-vuong-quoc-hung-manh	Phù Nam trở thành vương quốc hùng mạnh	Từ thế kỉ III đến thế kỉ V
013	khoi-nghia-ba-trieu	Khởi nghĩa Bà Triệu	248
014	khoi-nghia-ly-bi-trieu-quang-phuc	Khởi nghĩa Lý Bí và Triệu Quang Phục	542-602
015	xa-lan-dau-tien-xuat-hien	Xã lần đầu tiên xuất hiện	Đầu thế kỉ VII
016	mai-thuc-loan-khoi-nghia	Mai Thúc Loan dựng cờ khởi nghĩa	đầu thế kỉ VIII
017	khoi-nghia-mai-thuc-loan	Khởi nghĩa Mai Thúc Loan	713-722
018	khoi-nghia-phung-hung	Khởi nghĩa Phùng Hưng	Cuối thế kỉ VIII
019	khoi-nghia-khuc-thua-du	Khởi nghĩa Khúc Thừa Dụ	905
020	chien-thang-bach-dang-938	Chiến thắng Bạch Đằng (938)	Năm 938
021	ngo-quyen-xung-vuong-co-loa	Ngô Quyền xưng vương và đóng đô ở Cổ Loa	Sau năm 938
022	khang-chien-chong-quan-tong-981	Kháng chiến chống quân Tống (lần 1)	Năm 981
023	khang-chien-chong-quan-tong-1075-1077	Kháng chiến chống quân Tống (lần 2)	1075-1077
