eventId,title,action,reasonType,status,category,slot,sha256,detail
bai-bo-che-do-tem-phieu-o-viet-nam,Bãi bỏ chế độ tem phiếu ở Việt Nam,needs_replacement,hard_blocker,blocked_data_issue,data_issue,,,Không dùng ngày 1/4/1989 cho đến khi có nguồn chính thức.
bru-nay-tuyen-bo-ranh-gioi-them-luc-dia,Bru-nây tuyên bố về ranh giới thềm lục địa 200 hải lí,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
bru-nay-tuyen-bo-vung-dac-quyen-kinh-te,Bru-nây tuyên bố về vùng đặc quyền kinh tế,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
chu-tich-ho-chi-minh-tham-quan-cang-bai-chay-1961,Chủ tịch Hồ Chí Minh thăm Quân cảng Bãi Cháy và căn dặn về bảo vệ biển,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
dai-hoi-dai-bieu-toan-quoc-lan-thu-viii-cua-dang-cong-san-viet-nam,Đại hội đại biểu toàn quốc lần thứ VIII của Đảng Cộng sản Việt Nam,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
dai-loan-chiem-bai-can-ran-san-ho-ban-than,Đài Loan chiếm bãi cạn rạn san hô Bàn Than,needs_replacement,hard_blocker,blocked_data_issue,data_issue,,,Phân biệt chiếm/kiểm soát với hoạt động xây dựng năm 1995 tại Bãi Bàn Than/Zhongzhou Reef.
hoi-nghi-cap-cao-ba-nuoc-viet-nam-lao-cam-pu-chia,Hội nghị cấp cao ba nước Việt Nam - Lào - Cam-pu-chia,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
lang-co-ten-nom-xuat-hien-som-thoi-ly-tran,Những làng có tên nôm xuất hiện sớm vào thời Lý – Trần,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
thoi-tran-dat-chuc-xa-quan,Thời Trần đặt chức xã quan,needs_replacement,hard_blocker,blocked_data_issue,data_issue,,,Xác minh lại phát biểu “thời Trần đặt chức xã quan”.
viet-nam-ban-hanh-tuyen-bo-vung-bien-them-luc-dia,Việt Nam ban hành Tuyên bố về các vùng biển và thềm lục địa Việt Nam,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
viet-nam-danh-chiem-nua-phia-dong-hoang-sa,Việt Nam (chính quyền Sài Gòn) đánh chiếm nửa phía đông của quần đảo Hoàng Sa (nhóm An Vĩnh),needs_replacement,hard_blocker,blocked_data_issue,data_issue,,,Không phê duyệt ảnh trước khi sửa/đối chiếu lại event về nhóm An Vĩnh năm 1956.
viet-nam-hoan-tat-muc-tieu-thien-nien-ki,Việt Nam hoàn tất việc thực hiện các Mục tiêu Thiên niên kỉ (MDGs) của Liên hợp quốc,needs_replacement,hard_blocker,blocked_data_issue,data_issue,,,Xác minh Việt Nam đạt từng MDG; tránh caption “hoàn tất tất cả MDGs” nếu không có nguồn.
vndcch-gap-go-dang-cong-san-phap-va-cac-to-chuc-quoc-te,Chính phủ Việt Nam Dân chủ Cộng hoà gặp gỡ đại diện Đảng Cộng sản Pháp và nhiều tổ chức quốc tế,needs_replacement,hard_blocker,blocked_needs_direct_source,missing_direct_source,,,Giữ event ở trạng thái blocked cho đến khi tìm được tư liệu trực tiếp hoặc chấp nhận rõ đây chỉ là contextual.
xa-tro-thanh-ten-goi-pho-bien,Xã chính thức trở thành tên gọi phổ biến,needs_replacement,hard_blocker,blocked_data_issue,data_issue,,,Xác minh lại phát biểu “xã trở thành tên gọi phổ biến từ thế kỉ X”.
bac-thuoc-va-dau-tranh-gianh-doc-lap,Bắc thuộc và đấu tranh giành độc lập,allowed_duplicate_report_only,duplicate_physical_hash,,,2,a3fdd7e0cab87b4c418920a418d37ca4783e47a93be4b09ca54ce089a490f87b,Duplicate image hash appears in 2 local files; allowed by external policy.
bac-thuoc-va-dau-tranh-gianh-doc-lap,Bắc thuộc và đấu tranh giành độc lập,allowed_duplicate_report_only,duplicate_physical_hash,,,1,b4e32b736dfcb2de1e354ace296b8c6b961efa775e2823a6a5127d7471a28e90,Duplicate image hash appears in 2 local files; allowed by external policy.
bai-bo-che-do-tem-phieu-o-viet-nam,Bãi bỏ chế độ tem phiếu ở Việt Nam,hard_blocked_duplicate_report_only,duplicate_physical_hash,,,2,2b6acaeef473b4cf4b0b85551dd4957efd158062c94f43d2de92ae70451e1df8,Duplicate image hash appears in 4 local files; allowed by external policy.
ban-hanh-chinh-sach-loc-dien-quan-dien,Ban hành chính sách lộc điền và quân điền,allowed_duplicate_report_only,duplicate_physical_hash,,,2,63788b13ca653804e4b56b590e09aafcef71132fec7da375641c68d38706927a,Duplicate image hash appears in 3 local files; allowed by external policy.
ban-hanh-chinh-sach-loc-dien-quan-dien,Ban hành chính sách lộc điền và quân điền,allowed_duplicate_report_only,duplicate_physical_hash,,,1,de71178f070b067b39abcc07f257157da189856a749cc70b635d101d74a164df,Duplicate image hash appears in 3 local files; allowed by external policy.
bo-chinh-tri-ban-hanh-chi-thi-05-ct-tw-ve-day-manh-hoc-tap-va-lam-theo-tu-tuong-dao-duc-phong-cach-ho-chi-minh,"Bộ Chính trị ban hành Chỉ thị 05-CT/TW về “đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh”",allowed_duplicate_report_only,duplicate_physical_hash,,,2,9938583f2533def20a933d36b6484b9bd85f1da4917b18a70bde83f7a6618fc3,Duplicate image hash appears in 2 local files; allowed by external policy.
