eventIndex,eventId,title,chronology,summary,locations,people,likelyImageSubjects,recommendedTrustedDomains,suggestedSearchQueries,discoveryStatus,historicalVerificationSources,imageCandidate1,imageCandidate2,unresolvedReason,mojibakeSuspected
1,viet-nam-thoi-dung-nuoc,Việt Nam thời dựng nước,Thời dựng nước,Nút điều hướng tổng hợp cho Việt Nam thời dựng nước.,"[""Việt Nam""]",[],"[""Việt Nam thời dựng nước"", ""Việt Nam thời dựng nước Thời dựng nước"", ""Việt Nam thời dựng nước Việt Nam"", ""Việt Nam thời dựng nước toàn cảnh lịch sử"", ""Việt Nam thời dựng nước ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam thời dựng nước"", ""Việt Nam thời dựng nước Thời dựng nước"", ""Việt Nam thời dựng nước Việt Nam"", ""Việt Nam thời dựng nước toàn cảnh lịch sử"", ""Việt Nam thời dựng nước ảnh tư liệu""]",needs_manual_source_search,[],,,Needs manual trusted-source/image search.,False
2,bac-thuoc-va-dau-tranh-gianh-doc-lap,Bắc thuộc và đấu tranh giành độc lập,Bắc thuộc,Nút điều hướng tổng hợp cho Bắc thuộc và đấu tranh giành độc lập.,"[""Việt Nam""]",[],"[""Bắc thuộc và đấu tranh giành độc lập"", ""Bắc thuộc và đấu tranh giành độc lập Bắc thuộc"", ""Bắc thuộc và đấu tranh giành độc lập Việt Nam"", ""Bắc thuộc và đấu tranh giành độc lập toàn cảnh lịch sử"", ""Bắc thuộc và đấu tranh giành độc lập ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Bắc thuộc và đấu tranh giành độc lập"", ""Bắc thuộc và đấu tranh giành độc lập Bắc thuộc"", ""Bắc thuộc và đấu tranh giành độc lập Việt Nam"", ""Bắc thuộc và đấu tranh giành độc lập toàn cảnh lịch sử"", ""Bắc thuộc và đấu tranh giành độc lập ảnh tư liệu""]",needs_manual_source_search,[],,,Needs manual trusted-source/image search.,False
3,viet-nam-tu-the-ki-x-den-xv,Việt Nam từ thế kỉ X đến thế kỉ XV,Việt Nam thế kỉ X-XV,Nút điều hướng tổng hợp cho Việt Nam từ thế kỉ X đến thế kỉ XV.,"[""Việt Nam""]",[],"[""Việt Nam từ thế kỉ X đến thế kỉ XV"", ""Việt Nam từ thế kỉ X đến thế kỉ XV Việt Nam thế kỉ X-XV"", ""Việt Nam từ thế kỉ X đến thế kỉ XV Việt Nam"", ""Việt Nam từ thế kỉ X đến thế kỉ XV toàn cảnh lịch sử"", ""Việt Nam từ thế kỉ X đến thế kỉ XV ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ thế kỉ X đến thế kỉ XV"", ""Việt Nam từ thế kỉ X đến thế kỉ XV Việt Nam thế kỉ X-XV"", ""Việt Nam từ thế kỉ X đến thế kỉ XV Việt Nam"", ""Việt Nam từ thế kỉ X đến thế kỉ XV toàn cảnh lịch sử"", ""Việt Nam từ thế kỉ X đến thế kỉ XV ảnh tư liệu""]",needs_manual_source_search,[],,,Needs manual trusted-source/image search.,False
4,viet-nam-tu-the-ki-xvi-den-xix,Việt Nam từ thế kỉ XVI đến thế kỉ XIX,Việt Nam thế kỉ XVI-XIX,Nút điều hướng tổng hợp cho Việt Nam từ thế kỉ XVI đến thế kỉ XIX.,"[""Việt Nam""]",[],"[""Việt Nam từ thế kỉ XVI đến thế kỉ XIX"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX Việt Nam thế kỉ XVI-XIX"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX Việt Nam"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX toàn cảnh lịch sử"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ thế kỉ XVI đến thế kỉ XIX"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX Việt Nam thế kỉ XVI-XIX"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX Việt Nam"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX toàn cảnh lịch sử"", ""Việt Nam từ thế kỉ XVI đến thế kỉ XIX ảnh tư liệu""]",needs_manual_source_search,[],,,Needs manual trusted-source/image search.,False
5,viet-nam-1858-1918,Việt Nam từ năm 1858 đến năm 1918,Việt Nam 1858-1918,Nút điều hướng tổng hợp cho Việt Nam từ năm 1858 đến năm 1918.,"[""Việt Nam""]",[],"[""Việt Nam từ năm 1858 đến năm 1918"", ""Việt Nam từ năm 1858 đến năm 1918 Việt Nam 1858-1918"", ""Việt Nam từ năm 1858 đến năm 1918 Việt Nam"", ""Việt Nam từ năm 1858 đến năm 1918 toàn cảnh lịch sử"", ""Việt Nam từ năm 1858 đến năm 1918 ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ năm 1858 đến năm 1918"", ""Việt Nam từ năm 1858 đến năm 1918 Việt Nam 1858-1918"", ""Việt Nam từ năm 1858 đến năm 1918 Việt Nam"", ""Việt Nam từ năm 1858 đến năm 1918 toàn cảnh lịch sử"", ""Việt Nam từ năm 1858 đến năm 1918 ảnh tư liệu""]",needs_manual_source_search,[],,,Needs manual trusted-source/image search.,False
6,viet-nam-1919-1945,Việt Nam từ năm 1919 đến năm 1945,Việt Nam 1919-1945,Nút điều hướng tổng hợp cho Việt Nam từ năm 1919 đến năm 1945.,"[""Việt Nam""]",[],"[""Việt Nam từ năm 1919 đến năm 1945"", ""Việt Nam từ năm 1919 đến năm 1945 Việt Nam 1919-1945"", ""Việt Nam từ năm 1919 đến năm 1945 Việt Nam"", ""Việt Nam từ năm 1919 đến năm 1945 toàn cảnh lịch sử"", ""Việt Nam từ năm 1919 đến năm 1945 ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ năm 1919 đến năm 1945"", ""Việt Nam từ năm 1919 đến năm 1945 Việt Nam 1919-1945"", ""Việt Nam từ năm 1919 đến năm 1945 Việt Nam"", ""Việt Nam từ năm 1919 đến năm 1945 toàn cảnh lịch sử"", ""Việt Nam từ năm 1919 đến năm 1945 ảnh tư liệu""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
7,viet-nam-1945-1954,Việt Nam từ năm 1945 đến năm 1954,Việt Nam 1945-1954,Nút điều hướng tổng hợp cho Việt Nam từ năm 1945 đến năm 1954.,"[""Việt Nam""]",[],"[""Việt Nam từ năm 1945 đến năm 1954"", ""Việt Nam từ năm 1945 đến năm 1954 Việt Nam 1945-1954"", ""Việt Nam từ năm 1945 đến năm 1954 Việt Nam"", ""Việt Nam từ năm 1945 đến năm 1954 toàn cảnh lịch sử"", ""Việt Nam từ năm 1945 đến năm 1954 ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ năm 1945 đến năm 1954"", ""Việt Nam từ năm 1945 đến năm 1954 Việt Nam 1945-1954"", ""Việt Nam từ năm 1945 đến năm 1954 Việt Nam"", ""Việt Nam từ năm 1945 đến năm 1954 toàn cảnh lịch sử"", ""Việt Nam từ năm 1945 đến năm 1954 ảnh tư liệu""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
8,viet-nam-1954-1975,Việt Nam từ năm 1954 đến năm 1975,Việt Nam 1954-1975,Nút điều hướng tổng hợp cho Việt Nam từ năm 1954 đến năm 1975.,"[""Việt Nam""]",[],"[""Việt Nam từ năm 1954 đến năm 1975"", ""Việt Nam từ năm 1954 đến năm 1975 Việt Nam 1954-1975"", ""Việt Nam từ năm 1954 đến năm 1975 Việt Nam"", ""Việt Nam từ năm 1954 đến năm 1975 toàn cảnh lịch sử"", ""Việt Nam từ năm 1954 đến năm 1975 ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ năm 1954 đến năm 1975"", ""Việt Nam từ năm 1954 đến năm 1975 Việt Nam 1954-1975"", ""Việt Nam từ năm 1954 đến năm 1975 Việt Nam"", ""Việt Nam từ năm 1954 đến năm 1975 toàn cảnh lịch sử"", ""Việt Nam từ năm 1954 đến năm 1975 ảnh tư liệu""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
9,viet-nam-1975-den-nay,Việt Nam từ năm 1975 đến nay,Việt Nam 1975 đến nay,Nút điều hướng tổng hợp cho Việt Nam từ năm 1975 đến nay.,"[""Việt Nam""]",[],"[""Việt Nam từ năm 1975 đến nay"", ""Việt Nam từ năm 1975 đến nay Việt Nam 1975 đến nay"", ""Việt Nam từ năm 1975 đến nay Việt Nam"", ""Việt Nam từ năm 1975 đến nay toàn cảnh lịch sử"", ""Việt Nam từ năm 1975 đến nay ảnh tư liệu""]","[""baotanglichsu.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Việt Nam từ năm 1975 đến nay"", ""Việt Nam từ năm 1975 đến nay Việt Nam 1975 đến nay"", ""Việt Nam từ năm 1975 đến nay Việt Nam"", ""Việt Nam từ năm 1975 đến nay toàn cảnh lịch sử"", ""Việt Nam từ năm 1975 đến nay ảnh tư liệu""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
10,khoi-nghia-hai-ba-trung,Khởi nghĩa Hai Bà Trưng,40-43,"Khởi nghĩa Hai Bà Trưng diễn ra từ năm 40 đến năm 43. Hai Bà Trưng dựng cờ khởi nghĩa ở Hát Môn, đánh chiếm Mê Linh, Cổ Loa và Luy Lâu, khiến Thái thú Tô Định phải bỏ chạy. Trưng Trắc lên làm vua. Năm 43, Mã Viện đem quân tấn công, khởi nghĩa thất bại.",[],[],"[""Khởi nghĩa Hai Bà Trưng"", ""Khởi nghĩa Hai Bà Trưng 40-43"", ""Khởi nghĩa Hai Bà Trưng Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Hai Bà Trưng Thái thú Tô Định phải bỏ chạy về nước Hai Bà Trưng dựng cờ khởi nghĩa ở Hát Môn (Phúc Thọ, Hà Nội)"", ""Khởi nghĩa Hai Bà Trưng hiện vật"", ""Khởi nghĩa Hai Bà Trưng di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Hai Bà Trưng"", ""Khởi nghĩa Hai Bà Trưng 40-43"", ""Khởi nghĩa Hai Bà Trưng Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Hai Bà Trưng Thái thú Tô Định phải bỏ chạy về nước Hai Bà Trưng dựng cờ khởi nghĩa ở Hát Môn (Phúc Thọ, Hà Nội)"", ""Khởi nghĩa Hai Bà Trưng hiện vật"", ""Khởi nghĩa Hai Bà Trưng di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
