eventIndex,eventId,title,chronology,eventLevel,sourceFamily,folder,slot,role,suggestedFilename,relationType,confidence,imageTitle,assetPageUrl,assetFileUrl,previewUrl,sourceDomain,author,license,licenseUrl,requiredAttribution,historicalVerificationUrl,historicalReason,downloadStatus,reviewerNotes,preferredVerificationDomains,gateStatus,gateSeverity,gateCategory,gateProblem,gateRequiredAction,manualApprovalAllowed,packageReviewRequired
0,viet-nam-thoi-dung-nuoc,Việt Nam thời dựng nước,Thời dựng nước,collection,broad_period,by_event/viet-nam-thoi-dung-nuoc,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Đông Sơn drum / trống đồng Đông Sơn,https://en.wikipedia.org/wiki/Dong_Son_drum,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Dong_Son_drum,Trống đồng Đông Sơn là hiện vật tiêu biểu gắn với văn hóa Đông Sơn và thời dựng nước.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
0,viet-nam-thoi-dung-nuoc,Việt Nam thời dựng nước,Thời dựng nước,collection,broad_period,by_event/viet-nam-thoi-dung-nuoc,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,medium,Hùng Temple / Đền Hùng,https://en.wikipedia.org/wiki/H%C3%B9ng_Temple,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/H%C3%B9ng_Temple,Đền Hùng gắn với truyền thống Hùng Vương và Văn Lang.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
1,bac-thuoc-va-dau-tranh-gianh-doc-lap,Bắc thuộc và đấu tranh giành độc lập,Bắc thuộc,collection,broad_period,by_event/bac-thuoc-va-dau-tranh-gianh-doc-lap,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Hai Bà Trưng Temple,https://en.wikipedia.org/wiki/Hai_B%C3%A0_Tr%C6%B0ng_Temple_%28%C4%90%E1%BB%93ng_Nh%C3%A2n%29,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Hai_B%C3%A0_Tr%C6%B0ng_Temple_%28%C4%90%E1%BB%93ng_Nh%C3%A2n%29,Đền thờ Hai Bà Trưng gắn với truyền thống thờ phụng và cuộc khởi nghĩa chống đô hộ.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
1,bac-thuoc-va-dau-tranh-gianh-doc-lap,Bắc thuộc và đấu tranh giành độc lập,Bắc thuộc,collection,broad_period,by_event/bac-thuoc-va-dau-tranh-gianh-doc-lap,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,medium,Lady Triệu / Bà Triệu depiction,https://en.wikipedia.org/wiki/Lady_Tri%E1%BB%87u,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Lady_Tri%E1%BB%87u,Bà Triệu là nhân vật tiêu biểu trong đấu tranh chống đô hộ thời Bắc thuộc.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
2,viet-nam-tu-the-ki-x-den-xv,Việt Nam từ thế kỉ X đến thế kỉ XV,Việt Nam thế kỉ X-XV,collection,broad_period,by_event/viet-nam-tu-the-ki-x-den-xv,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Hoa Lư Ancient Capital,https://en.wikipedia.org/wiki/Hoa_L%C6%B0_Ancient_Capital,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Hoa_L%C6%B0_Ancient_Capital,Hoa Lư là kinh đô của Đại Cồ Việt gắn với giai đoạn X-XV.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
2,viet-nam-tu-the-ki-x-den-xv,Việt Nam từ thế kỉ X đến thế kỉ XV,Việt Nam thế kỉ X-XV,collection,broad_period,by_event/viet-nam-tu-the-ki-x-den-xv,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,high,Hoàng thành Thăng Long — trung tâm quyền lực thời Lý–Trần–Lê,https://en.wikipedia.org/wiki/Imperial_Citadel_of_Th%C4%83ng_Long,,,en.wikipedia.org,,"REVIEW REQUIRED: verify the specific media file page, license, attribution, and reuse terms before download or import.",,,https://whc.unesco.org/en/list/1328/,Di tích gắn trực tiếp với trung tâm chính trị Đại Việt từ thế kỉ XI; phù hợp minh họa giai đoạn Việt Nam thế kỉ X–XV. Chỉ chọn file ảnh có chú thích niên đại/di tích rõ.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
3,viet-nam-tu-the-ki-xvi-den-xix,Việt Nam từ thế kỉ XVI đến thế kỉ XIX,Việt Nam thế kỉ XVI-XIX,collection,broad_period,by_event/viet-nam-tu-the-ki-xvi-den-xix,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Hội An Ancient Town,https://whc.unesco.org/en/list/948/,,,whc.unesco.org,,"do not assume; use page as verification, find downloadable image separately",,,https://whc.unesco.org/en/list/948/,Hội An là thương cảng tiêu biểu cho giao lưu thương mại Việt Nam thế kỉ XVI-XIX.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
3,viet-nam-tu-the-ki-xvi-den-xix,Việt Nam từ thế kỉ XVI đến thế kỉ XIX,Việt Nam thế kỉ XVI-XIX,collection,broad_period,by_event/viet-nam-tu-the-ki-xvi-den-xix,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,medium,Complex of Hué Monuments,https://whc.unesco.org/en/list/678/,,,whc.unesco.org,,"do not assume; use page as verification, find downloadable image separately",,,https://whc.unesco.org/en/list/678/,"Huế là trung tâm chính trị, văn hóa triều Nguyễn trong giai đoạn cuối thời quân chủ.",awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
4,viet-nam-1858-1918,Việt Nam từ năm 1858 đến năm 1918,Việt Nam 1858-1918,collection,broad_period,by_event/viet-nam-1858-1918,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Notre-Dame Cathedral Basilica of Saigon,https://en.wikipedia.org/wiki/Notre-Dame_Cathedral_Basilica_of_Saigon,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Notre-Dame_Cathedral_Basilica_of_Saigon,"Công trình thuộc bối cảnh Pháp thuộc cuối thế kỉ XIX, phù hợp ảnh bối cảnh cho Việt Nam 1858-1918.",awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
4,viet-nam-1858-1918,Việt Nam từ năm 1858 đến năm 1918,Việt Nam 1858-1918,collection,broad_period,by_event/viet-nam-1858-1918,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,high,Cầu Long Biên — hạ tầng thời Pháp thuộc,https://en.wikipedia.org/wiki/Long_Bi%C3%AAn_Bridge,,,en.wikipedia.org,,"REVIEW REQUIRED: verify the specific media file page, license, attribution, and reuse terms before download or import.",,,https://en.wikipedia.org/wiki/French_Indochina,"Công trình tiêu biểu của thời Pháp thuộc, phù hợp minh họa bối cảnh Việt Nam 1858–1918 hơn nguồn thư viện thuộc địa chung chung.",awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
