eventId,slug,geoType,code,targetIndex,gadmRef,detail
viet-nam-thoi-dung-nuoc,viet-nam-thoi-dung-nuoc,nationwide,UNSUPPORTED_NATIONWIDE,,,
bac-thuoc-va-dau-tranh-gianh-doc-lap,bac-thuoc-va-dau-tranh-gianh-doc-lap,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-tu-the-ki-x-den-xv,viet-nam-tu-the-ki-x-den-xv,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-tu-the-ki-xvi-den-xix,viet-nam-tu-the-ki-xvi-den-xix,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-1858-1918,viet-nam-1858-1918,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-1919-1945,viet-nam-1919-1945,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-1945-1954,viet-nam-1945-1954,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-1954-1975,viet-nam-1954-1975,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-1975-den-nay,viet-nam-1975-den-nay,nationwide,UNSUPPORTED_NATIONWIDE,,,
van-hoa-sa-huynh,van-hoa-sa-huynh,mixed,DUPLICATE_COORDINATE,0,,markers
su-ra-doi-nha-nuoc-au-lac,su-ra-doi-nha-nuoc-au-lac,mixed,DUPLICATE_COORDINATE,0,,markers
khang-chien-chong-quan-trieu-an-duong-vuong,khang-chien-chong-quan-trieu-an-duong-vuong,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-hai-ba-trung,khoi-nghia-hai-ba-trung,mixed,DUPLICATE_COORDINATE,0,,markers
hinh-thanh-phat-trien-van-minh-cham-pa,hinh-thanh-phat-trien-van-minh-cham-pa,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-khu-lien-lap-nuoc-lam-ap,khoi-nghia-khu-lien-lap-nuoc-lam-ap,mixed,DUPLICATE_COORDINATE,0,,markers
phu-nam-tro-thanh-vuong-quoc-hung-manh,phu-nam-tro-thanh-vuong-quoc-hung-manh,no_location,UNSUPPORTED_NO_LOCATION,,,
khoi-nghia-ba-trieu,khoi-nghia-ba-trieu,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-ly-bi-trieu-quang-phuc,khoi-nghia-ly-bi-trieu-quang-phuc,no_location,UNSUPPORTED_NO_LOCATION,,,
xa-lan-dau-tien-xuat-hien,xa-lan-dau-tien-xuat-hien,no_location,UNSUPPORTED_NO_LOCATION,,,
mai-thuc-loan-khoi-nghia,mai-thuc-loan-khoi-nghia,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-mai-thuc-loan,khoi-nghia-mai-thuc-loan,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-phung-hung,khoi-nghia-phung-hung,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-khuc-to-chuc-lai-lang-xa-the-ki-x,ho-khuc-to-chuc-lai-lang-xa-the-ki-x,no_location,UNSUPPORTED_NO_LOCATION,,,
khoi-nghia-khuc-thua-du,khoi-nghia-khuc-thua-du,mixed,DUPLICATE_COORDINATE,0,,markers
chien-thang-bach-dang-938,chien-thang-bach-dang-938,mixed,DUPLICATE_COORDINATE,0,,markers
ngo-quyen-xung-vuong-co-loa,ngo-quyen-xung-vuong-co-loa,mixed,DUPLICATE_COORDINATE,0,,markers
khang-chien-chong-quan-tong-981,khang-chien-chong-quan-tong-981,mixed,DUPLICATE_COORDINATE,0,,markers
doi-do-ly-cong-uan,doi-do-ly-cong-uan,no_location,UNSUPPORTED_NO_LOCATION,,,
ly-thai-to-doi-do-thang-long,ly-thai-to-doi-do-thang-long,mixed,DUPLICATE_COORDINATE,0,,markers
ly-thai-to-doi-do-thang-long,ly-thai-to-doi-do-thang-long,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,1,,markers
ly-thanh-tong-dung-van-mieu,ly-thanh-tong-dung-van-mieu,mixed,DUPLICATE_COORDINATE,0,,markers
khang-chien-chong-quan-tong-1075-1077,khang-chien-chong-quan-tong-1075-1077,mixed,DUPLICATE_COORDINATE,0,,markers
ly-thuong-kiet-tap-kich-kham-chau-liem-chau-ung-chau,ly-thuong-kiet-tap-kich-kham-chau-liem-chau-ung-chau,no_location,UNSUPPORTED_NO_LOCATION,,,
ly-nhan-tong-lap-quoc-tu-giam,ly-nhan-tong-lap-quoc-tu-giam,mixed,DUPLICATE_COORDINATE,0,,markers
ga-cong-chua-thieu-dung-duong-tu-minh-1144,ga-cong-chua-thieu-dung-duong-tu-minh-1144,mixed,DUPLICATE_COORDINATE,0,,markers
